species,tip_label,family,order,role,match_level,diploid_number_2n,sex_chromosome_system,meioformula,n_records,diploid_range,notes,citation,source
Diabrotica undecimpunctata,Diabrotica_undecimpunctata,Chrysomelidae,Coleoptera,ingroup,species,19,XO,2n=19M/2n=20F 9+XO,5,,,"Petitpierre, Segarra, Yadav, and Virkki (1988)",Blackmon_Coleoptera_Karyotype_DB
Diabrotica virgifera virgifera,Diabrotica_virgifera_virgifera,Chrysomelidae,Coleoptera,ingroup,genus,19,XO,,36,19;20;21,Genus-level: 28 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Diaperis boleti,Diaperis_boleti,Tenebrionidae,Coleoptera,ingroup,species,14,NeoXY,2n=14M 6+NeoXY,1,,,Juan and Petitpierre (1991),Blackmon_Coleoptera_Karyotype_DB
Dicheirus dilatatus,Dicheirus_dilatatus,Carabidae,Coleoptera,ingroup,none,,,,0,,,,
Digitonthophagus gazella,Digitonthophagus_gazella,Scarabaeidae,Coleoptera,ingroup,species,20,XY,2n=20M 9+XY,3,,,"D. C. Cabral-de Mello, Oliveira, de Moura, and Martins (2011); Wilson and Angus (2005a); D. C. Cabral-de Mello, de Oliveira, Ramos, and de Moura (2008)",Blackmon_Coleoptera_Karyotype_DB
Diorhabda carinata,Diorhabda_carinata,Chrysomelidae,Coleoptera,ingroup,genus,40,,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Diorhabda carinulata,Diorhabda_carinulata,Chrysomelidae,Coleoptera,ingroup,genus,40,,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Diorhabda elongata,Diorhabda_elongata,Chrysomelidae,Coleoptera,ingroup,genus,40,,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Diorhabda sublineata,Diorhabda_sublineata,Chrysomelidae,Coleoptera,ingroup,genus,40,,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Diplocoelus fagi,Diplocoelus_fagi,Biphyllidae,Coleoptera,ingroup,none,,,,0,,,,
Diploeciton nevermanni,Diploeciton_nevermanni,Staphylinidae,Coleoptera,ingroup,none,,,,0,,,,
Distenia gracilis,Distenia_gracilis,Cerambycidae,Coleoptera,ingroup,species,20,,2n=20M,1,,,S. Smith and Virkki (1978),Blackmon_Coleoptera_Karyotype_DB
Donacia provostii,Donacia_provostii,Chrysomelidae,Coleoptera,ingroup,genus,30,Xyp,,7,28;30,Genus-level: 7 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Dorcus hopei,Dorcus_hopei,Lucanidae,Coleoptera,ingroup,genus,18,NeoXY,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Dorcus parallelipipedus,Dorcus_parallelipipedus,Lucanidae,Coleoptera,ingroup,species,18,NeoXY,2n=18M 8+NeoXY,1,,,S. Smith and Virkki (1978),Blackmon_Coleoptera_Karyotype_DB
Dorysthenes granulosus,Dorysthenes_granulosus,Cerambycidae,Coleoptera,ingroup,none,,,,0,,,,
Drilus flavescens,Drilus_flavescens,Elateridae,Coleoptera,ingroup,none,,,,0,,,,
Dromius quadrimaculatus,Dromius_quadrimaculatus,Carabidae,Coleoptera,ingroup,genus,25,XO,,3,,Genus-level: 3 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Drusilla canaliculata,Drusilla_canaliculata,Staphylinidae,Coleoptera,ingroup,none,,,,0,,,,
Dynastes grantii,Dynastes_grantii,Scarabaeidae,Coleoptera,ingroup,genus,18,NeoXY,,2,,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Dynastes hercules hercules,Dynastes_hercules_hercules,Scarabaeidae,Coleoptera,ingroup,genus,18,NeoXY,,2,,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Dynastes hercules paschoali,Dynastes_hercules_paschoali,Scarabaeidae,Coleoptera,ingroup,genus,18,NeoXY,,2,,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Dynastes hercules reidi,Dynastes_hercules_reidi,Scarabaeidae,Coleoptera,ingroup,genus,18,NeoXY,,2,,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Dynastes hercules septentrionalis,Dynastes_hercules_septentrionalis,Scarabaeidae,Coleoptera,ingroup,genus,18,NeoXY,,2,,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Dynastes hyllus,Dynastes_hyllus,Scarabaeidae,Coleoptera,ingroup,genus,18,NeoXY,,2,,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Dynastes maya,Dynastes_maya,Scarabaeidae,Coleoptera,ingroup,genus,18,NeoXY,,2,,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Dynastes tityus,Dynastes_tityus,Scarabaeidae,Coleoptera,ingroup,species,18,NeoXY,2n=18M 8+NeoXY,1,,,A. Dutrillaux and Dutrillaux (2012),Blackmon_Coleoptera_Karyotype_DB
Eledona agricola,Eledona_agricola,Tenebrionidae,Coleoptera,ingroup,none,,,,0,,,,
Elmis aenea,Elmis_aenea,Elmidae,Coleoptera,ingroup,none,,,,0,,,,
Endomychus armeniacus,Endomychus_armeniacus,Endomychidae,Coleoptera,ingroup,none,,,,0,,,,
Endomychus coccineus,Endomychus_coccineus,Endomychidae,Coleoptera,ingroup,none,,,,0,,,,
Eucryptorrhynchus brandti,Eucryptorrhynchus_brandti,Curculionidae,Coleoptera,ingroup,none,,,,0,,,,
Eucryptorrhynchus scrobiculatus,Eucryptorrhynchus_scrobiculatus,Curculionidae,Coleoptera,ingroup,none,,,,0,,,,
Eulagius filicornis,Eulagius_filicornis,Mycetophagidae,Coleoptera,ingroup,none,,,,0,,,,
Euwallacea fornicatus,Euwallacea_fornicatus,Curculionidae,Coleoptera,ingroup,none,,,,0,,,,
Euwallacea similis,Euwallacea_similis,Curculionidae,Coleoptera,ingroup,none,,,,0,,,,
Galeruca laticollis,Galeruca_laticollis,Chrysomelidae,Coleoptera,ingroup,genus,38,Xyp,,7,38;40;44;46,Genus-level: 7 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Galerucella nymphaeae,Galerucella_nymphaeae,Chrysomelidae,Coleoptera,ingroup,genus,34,Xyp,,11,16;26;34;38;44,Genus-level: 11 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Galerucella sagittariae,Galerucella_sagittariae,Chrysomelidae,Coleoptera,ingroup,genus,34,Xyp,,11,16;26;34;38;44,Genus-level: 11 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Gastrophysa polygoni,Gastrophysa_polygoni,Chrysomelidae,Coleoptera,ingroup,genus,30,Xyp,,3,24;28;30,Genus-level: 3 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Gastrophysa viridula,Gastrophysa_viridula,Chrysomelidae,Coleoptera,ingroup,species,28,Xyp,2n=28M 13+Xyp,1,,,"Petitpierre, Segarra, Yadav, and Virkki (1988)",Blackmon_Coleoptera_Karyotype_DB
Geotrupes spiniger,Geotrupes_spiniger,Geotrupidae,Coleoptera,ingroup,species,22,XY,2n=22M 10+XY,3,20;22,,"Wilson and Angus (2004c); Yadav, Pillai, and Karamjeet (1979); R. Angus (2011)",Blackmon_Coleoptera_Karyotype_DB
Gnatocerus cornutus,Gnatocerus_cornutus,Tenebrionidae,Coleoptera,ingroup,none,,,,0,,,,
Gonodera luperus,Gonodera_luperus,Tenebrionidae,Coleoptera,ingroup,none,,,,0,,,,
Graciliella metohijensis,Graciliella_metohijensis,Leiodidae,Coleoptera,ingroup,none,,,,0,,,,
Grammoptera ruficornis,Grammoptera_ruficornis,Cerambycidae,Coleoptera,ingroup,none,,,,0,,,,
Grypus equiseti,Grypus_equiseti,Erirhinidae,Coleoptera,ingroup,none,,,,0,,,,
Hallomenus binotatus,Hallomenus_binotatus,Tetratomidae,Coleoptera,ingroup,none,,,,0,,,,
Halyzia sedecimguttata,Halyzia_sedecimguttata,Coccinellidae,Coleoptera,ingroup,none,,,,0,,,,
Harmonia axyridis,Harmonia_axyridis,Coccinellidae,Coleoptera,ingroup,genus,16,Xyp,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Harmonia quadripunctata,Harmonia_quadripunctata,Coccinellidae,Coleoptera,ingroup,genus,16,Xyp,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Harpalus anxius,Harpalus_anxius,Carabidae,Coleoptera,ingroup,species,37,XO,2n=37M 18+XO,1,,,Serrano and Yadav (1984),Blackmon_Coleoptera_Karyotype_DB
Harpalus rubripes,Harpalus_rubripes,Carabidae,Coleoptera,ingroup,species,37,XO,2n=37M 18+XO,1,,,Serrano and Yadav (1984),Blackmon_Coleoptera_Karyotype_DB
Harpalus rufipes,Harpalus_rufipes,Carabidae,Coleoptera,ingroup,species,37,XO,2n=37M 18+XO,1,,,Serrano and Galian (1998),Blackmon_Coleoptera_Karyotype_DB
Hemicrepidius hirtus,Hemicrepidius_hirtus,Elateridae,Coleoptera,ingroup,none,,,,0,,,,
Hermaeophaga mercurialis,Hermaeophaga_mercurialis,Chrysomelidae,Coleoptera,ingroup,genus,17,XXY,,2,16;17,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Herpes porcellus,Herpes_porcellus,Curculionidae,Coleoptera,ingroup,none,,,,0,,,,
Hippodamia convergens,Hippodamia_convergens,Coccinellidae,Coleoptera,ingroup,species,20,Xyp,2n=20M 9+Xyp,1,,,S. Smith and Virkki (1978),Blackmon_Coleoptera_Karyotype_DB
Hippodamia variegata,Hippodamia_variegata,Coccinellidae,Coleoptera,ingroup,genus,20,Xyp,,8,,Genus-level: 7 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Hololepta plana,Hololepta_plana,Histeridae,Coleoptera,ingroup,none,,,,0,,,,
Holotrichia oblita,Holotrichia_oblita,Scarabaeidae,Coleoptera,ingroup,genus,20,Xyp,,3,18;20,Genus-level: 3 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Hycleus marcipoli,Hycleus_marcipoli,Meloidae,Coleoptera,ingroup,none,,,,0,,,,
Hypera rumicis,Hypera_rumicis,Curculionidae,Coleoptera,ingroup,genus,22,Xyp,,10,20;22,Genus-level: 8 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Hypothenemus hampei,Hypothenemus_hampei,Curculionidae,Coleoptera,ingroup,genus,15,XXY,,2,14;15,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Ichthyurus bourgeoisi,Ichthyurus_bourgeoisi,Cantharidae,Coleoptera,ingroup,none,,,,0,,,,
Ips nitidus,Ips_nitidus,Curculionidae,Coleoptera,ingroup,genus,32,Xyp,,37,16;20;26;30;32;48,Genus-level: 30 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Ips sexdentatus,Ips_sexdentatus,Curculionidae,Coleoptera,ingroup,species,26,Xyp,2n=26M/2n=26F 12+Xyp,1,,,S. Smith and Virkki (1978),Blackmon_Coleoptera_Karyotype_DB
Ips typographus,Ips_typographus,Curculionidae,Coleoptera,ingroup,species,26,Xyp,2n=26M/2n=26F 12+Xyp,2,26;30,,S. Smith and Virkki (1978),Blackmon_Coleoptera_Karyotype_DB
Kibakoganea sinica,Kibakoganea_sinica,Scarabaeidae,Coleoptera,ingroup,none,,,,0,,,,
Kibakoganea tamdaoensis,Kibakoganea_tamdaoensis,Scarabaeidae,Coleoptera,ingroup,none,,,,0,,,,
Kyklioacalles roboris,Kyklioacalles_roboris,Curculionidae,Coleoptera,ingroup,none,,,,0,,,,
Labidomera clivicollis,Labidomera_clivicollis,Chrysomelidae,Coleoptera,ingroup,species,33,XO,2n=33M 16+XO,2,,Subsequent studies failed to replicate,"Hsiao and Hsiao (1983); Petitpierre, Segarra, Yadav, and Virkki (1988)",Blackmon_Coleoptera_Karyotype_DB
Laccobius striatulus,Laccobius_striatulus,Hydrophilidae,Coleoptera,ingroup,species,18,,2n=18�M,1,,,Angus et al (2020),Blackmon_Coleoptera_Karyotype_DB
Lagria hirta,Lagria_hirta,Tenebrionidae,Coleoptera,ingroup,none,,,,0,,,,
Laparocerus anagae,Laparocerus_anagae,Curculionidae,Coleoptera,ingroup,none,,,,0,,,,
Larinus minutus,Larinus_minutus,Curculionidae,Coleoptera,ingroup,genus,40,Xyp,,5,36;38;40,Genus-level: 5 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Larinus planus,Larinus_planus,Curculionidae,Coleoptera,ingroup,genus,40,Xyp,,5,36;38;40,Genus-level: 5 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Larinus ursus,Larinus_ursus,Curculionidae,Coleoptera,ingroup,genus,40,Xyp,,5,36;38;40,Genus-level: 5 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Lasiorhynchites cavifrons,Lasiorhynchites_cavifrons,Attelabidae,Coleoptera,ingroup,none,,,,0,,,,
Latheticus oryzae,Latheticus_oryzae,Tenebrionidae,Coleoptera,ingroup,species,20,Xyp,2n=20M 9+Xyp,1,,,Juan and Petitpierre (1991),Blackmon_Coleoptera_Karyotype_DB
Lathrobium brunnipes,Lathrobium_brunnipes,Staphylinidae,Coleoptera,ingroup,none,,,,0,,,,
Leiosoma deflexum,Leiosoma_deflexum,Curculionidae,Coleoptera,ingroup,none,,,,0,,,,
Leistus fulvibarbis,Leistus_fulvibarbis,Carabidae,Coleoptera,ingroup,none,,,,0,,,,
Leistus rufomarginatus,Leistus_rufomarginatus,Carabidae,Coleoptera,ingroup,none,,,,0,,,,
Leistus spinibarbis,Leistus_spinibarbis,Carabidae,Coleoptera,ingroup,none,,,,0,,,,
Leonhardella angulicollis,Leonhardella_angulicollis,Leiodidae,Coleoptera,ingroup,none,,,,0,,,,
Leptinotarsa decemlineata,Leptinotarsa_decemlineata,Chrysomelidae,Coleoptera,ingroup,genus,35,XO,,18,23;33;35;36,Genus-level: 16 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Leptodirus hochenwartii,Leptodirus_hochenwartii,Leiodidae,Coleoptera,ingroup,none,,,,0,,,,
Leptura quadrifasciata,Leptura_quadrifasciata,Cerambycidae,Coleoptera,ingroup,genus,20,,,3,,Genus-level: 3 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Lesteva pubescens,Lesteva_pubescens,Staphylinidae,Coleoptera,ingroup,none,,,,0,,,,
Lesteva punctata,Lesteva_punctata,Staphylinidae,Coleoptera,ingroup,none,,,,0,,,,
Lethrus apterus,Lethrus_apterus,Geotrupidae,Coleoptera,ingroup,none,,,,0,,,,
Librodor japonicus,Librodor_japonicus,Nitidulidae,Coleoptera,ingroup,none,,,,0,,,,
Limonius poneli,Limonius_poneli,Elateridae,Coleoptera,ingroup,genus,17,XO,,2,17;20,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Liophloeus tessulatus,Liophloeus_tessulatus,Curculionidae,Coleoptera,ingroup,species,22,Xyp,2n=22M/2n=22F 10+Xyp,2,22;29,,S. Smith and Virkki (1978),Blackmon_Coleoptera_Karyotype_DB
Liopterus haemorrhoidalis,Liopterus_haemorrhoidalis,Dytiscidae,Coleoptera,ingroup,none,,,,0,,,,
Lochmaea capreae,Lochmaea_capreae,Chrysomelidae,Coleoptera,ingroup,species,34,,2n=34M,1,,,"Petitpierre, Segarra, Yadav, and Virkki (1988)",Blackmon_Coleoptera_Karyotype_DB
Lochmaea crataegi,Lochmaea_crataegi,Chrysomelidae,Coleoptera,ingroup,genus,34,,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Longitarsus dorsalis,Longitarsus_dorsalis,Chrysomelidae,Coleoptera,ingroup,genus,30,XY,,25,26;28;30;32,Genus-level: 24 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Longitarsus flavicornis,Longitarsus_flavicornis,Chrysomelidae,Coleoptera,ingroup,genus,30,XY,,25,26;28;30;32,Genus-level: 24 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Lordithon lunulatus,Lordithon_lunulatus,Staphylinidae,Coleoptera,ingroup,none,,,,0,,,,
Lucanus miwai,Lucanus_miwai,Lucanidae,Coleoptera,ingroup,genus,22,XY,,2,22;26,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Luciola italica,Luciola_italica,Lampyridae,Coleoptera,ingroup,genus,17,XO,,2,,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Magdalis barbicornis,Magdalis_barbicornis,Curculionidae,Coleoptera,ingroup,genus,30,Xyp,,8,16;30;32;34,Genus-level: 6 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Magdalis cerasi,Magdalis_cerasi,Curculionidae,Coleoptera,ingroup,genus,30,Xyp,,8,16;30;32;34,Genus-level: 6 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Malachius bipustulatus,Malachius_bipustulatus,Melyridae,Coleoptera,ingroup,none,,,,0,,,,
Malthinus flaveolus,Malthinus_flaveolus,Cantharidae,Coleoptera,ingroup,genus,12,,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Malthinus seriepunctatus,Malthinus_seriepunctatus,Cantharidae,Coleoptera,ingroup,species,12,,2n=12F,1,,,James and Angus (2007),Blackmon_Coleoptera_Karyotype_DB
Malthodes marginatus,Malthodes_marginatus,Cantharidae,Coleoptera,ingroup,genus,11,XO,,2,11;12,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Malthodes minimus,Malthodes_minimus,Cantharidae,Coleoptera,ingroup,species,12,,2n=12F,1,,,James and Angus (2007),Blackmon_Coleoptera_Karyotype_DB
Marronus borbonicus,Marronus_borbonicus,Scarabaeidae,Coleoptera,ingroup,none,,,,0,,,,
Megalocaria dilatata,Megalocaria_dilatata,Coccinellidae,Coleoptera,ingroup,none,,,,0,,,,
Megatoma undata,Megatoma_undata,Dermestidae,Coleoptera,ingroup,none,,,,0,,,,
Melanotus villosus,Melanotus_villosus,Elateridae,Coleoptera,ingroup,genus,19,XO,,9,12;19,Genus-level: 9 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Melinopterus prodromus,Melinopterus_prodromus,Scarabaeidae,Coleoptera,ingroup,none,,,,0,,,,
Melolontha melolontha,Melolontha_melolontha,Scarabaeidae,Coleoptera,ingroup,species,20,XY,2n=20M 9+XY,1,,,Giannoulis et al. (2011),Blackmon_Coleoptera_Karyotype_DB
Metoecus paradoxus,Metoecus_paradoxus,Ripiphoridae,Coleoptera,ingroup,none,,,,0,,,,
Micromus angulatus,Micromus_angulatus,Hemerobiidae,Neuroptera,outgroup,none,,,,0,,,,
Microrhagus pygmaeus,Microrhagus_pygmaeus,Eucnemidae,Coleoptera,ingroup,none,,,,0,,,,
Mongoloraphidia duomilia,Mongoloraphidia_duomilia,Raphidiidae,Raphidioptera,outgroup,none,,,,0,,,,
Monochamus alternatus,Monochamus_alternatus,Cerambycidae,Coleoptera,ingroup,species,20,Xyp,2n=20M 9+Xyp,1,,,Ping et al. (2010),Blackmon_Coleoptera_Karyotype_DB
Monochamus saltuarius,Monochamus_saltuarius,Cerambycidae,Coleoptera,ingroup,species,20,Xyp,2n=20M/2n=20F 9+Xyp,1,,,"Cesari, Marescalchi, Francardi, and Mantovani (2005)",Blackmon_Coleoptera_Karyotype_DB
Monochamus scutellatus,Monochamus_scutellatus,Cerambycidae,Coleoptera,ingroup,species,20,Xyp,2n=20M 9+Xyp,2,,,S. Smith and Virkki (1978),Blackmon_Coleoptera_Karyotype_DB
Monochamus sutor,Monochamus_sutor,Cerambycidae,Coleoptera,ingroup,species,20,Xyp,2n=20M 9+Xyp,1,,,S. Smith and Virkki (1978),Blackmon_Coleoptera_Karyotype_DB
Monolepta hieroglyphica,Monolepta_hieroglyphica,Chrysomelidae,Coleoptera,ingroup,genus,18,Xyp,,4,18;26,Genus-level: 3 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Mononychus punctumalbum,Mononychus_punctumalbum,Curculionidae,Coleoptera,ingroup,none,,,,0,,,,
Monotoma picipes,Monotoma_picipes,Monotomidae,Coleoptera,ingroup,none,,,,0,,,,
Morimus asper,Morimus_asper,Cerambycidae,Coleoptera,ingroup,genus,24,Xyp,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Morimus orientalis,Morimus_orientalis,Cerambycidae,Coleoptera,ingroup,species,24,Xyp,2n=24M 11+Xyp,1,,,"Okutaner, Ozdikmen, Yuuksel, and Kocak (2011a)",Blackmon_Coleoptera_Karyotype_DB
Mycetophagus atomarius,Mycetophagus_atomarius,Mycetophagidae,Coleoptera,ingroup,none,,,,0,,,,
Mycetophagus piceus,Mycetophagus_piceus,Mycetophagidae,Coleoptera,ingroup,none,,,,0,,,,
Mylabris quadripunctata,Mylabris_quadripunctata,Meloidae,Coleoptera,ingroup,genus,22,Xyp,,5,20;22,Genus-level: 5 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Mylabris sibirica,Mylabris_sibirica,Meloidae,Coleoptera,ingroup,genus,22,Xyp,,5,20;22,Genus-level: 5 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Myrrha octodecimguttata,Myrrha_octodecimguttata,Coccinellidae,Coleoptera,ingroup,none,,,,0,,,,
Nacerdes melanura,Nacerdes_melanura,Oedemeridae,Coleoptera,ingroup,none,,,,0,,,,
Nadezhdiella cantori,Nadezhdiella_cantori,Cerambycidae,Coleoptera,ingroup,none,,,,0,,,,
Nalassus laevioctostriatus,Nalassus_laevioctostriatus,Tenebrionidae,Coleoptera,ingroup,genus,20,Xyp,,2,,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Nebria brevicollis,Nebria_brevicollis,Carabidae,Coleoptera,ingroup,species,30,,2n=30M,1,,,Serrano and Yadav (1984),Blackmon_Coleoptera_Karyotype_DB
Nebria salina,Nebria_salina,Carabidae,Coleoptera,ingroup,genus,46,,,11,30;34;38;40;42;46;52,Genus-level: 11 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Nedyus quadrimaculatus,Nedyus_quadrimaculatus,Curculionidae,Coleoptera,ingroup,species,28,Xyp,2n=28M 13+Xyp,1,,,"Lachowska, Holecova, and Rozek (1998)",Blackmon_Coleoptera_Karyotype_DB
Neocrepidodera transversa,Neocrepidodera_transversa,Chrysomelidae,Coleoptera,ingroup,species,38,Xyp,2n=38M 18+Xyp,1,,,"Rozek, Lachowska, Petitpierre, and Holecova (2004)",Blackmon_Coleoptera_Karyotype_DB
Neoneuromus ignobilis,Neoneuromus_ignobilis,Corydalidae,Megaloptera,outgroup,none,,,,0,,,,
Nicrophorus investigator,Nicrophorus_investigator,Silphidae,Coleoptera,ingroup,genus,13,XO,,2,,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Nineta flava,Nineta_flava,Chrysopidae,Neuroptera,outgroup,none,,,,0,,,,
Nothochrysa capitata,Nothochrysa_capitata,Chrysopidae,Neuroptera,outgroup,none,,,,0,,,,
Notiophilus biguttatus,Notiophilus_biguttatus,Carabidae,Coleoptera,ingroup,genus,24,,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Notoxus monoceros,Notoxus_monoceros,Anthicidae,Coleoptera,ingroup,genus,18,Xyp,,3,,Genus-level: 3 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Octodonta nipae,Octodonta_nipae,Chrysomelidae,Coleoptera,ingroup,none,,,,0,,,,
Ocypus olens,Ocypus_olens,Staphylinidae,Coleoptera,ingroup,none,,,,0,,,,
Ocys tachysoides,Ocys_tachysoides,Carabidae,Coleoptera,ingroup,none,,,,0,,,,
Odontolabis cuvera,Odontolabis_cuvera,Lucanidae,Coleoptera,ingroup,genus,29,XO,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Oedemera lurida,Oedemera_lurida,Oedemeridae,Coleoptera,ingroup,genus,22,Xyp,,2,,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Ontholestes murinus,Ontholestes_murinus,Staphylinidae,Coleoptera,ingroup,genus,26,Xyp,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Onthophagus binodis,Onthophagus_binodis,Scarabaeidae,Coleoptera,ingroup,genus,20,Xyp,,50,18;20,Genus-level: 44 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Onthophagus sagittarius,Onthophagus_sagittarius,Scarabaeidae,Coleoptera,ingroup,genus,20,Xyp,,50,18;20,Genus-level: 44 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Onthophagus taurus,Onthophagus_taurus,Scarabaeidae,Coleoptera,ingroup,species,20,XY,2n=20M 9+XY,2,,,"Yadav, Pillai, and Karamjeet (1979); Wilson and Angus (2005a)",Blackmon_Coleoptera_Karyotype_DB
Ophonus ardosiacus,Ophonus_ardosiacus,Carabidae,Coleoptera,ingroup,species,37,XO,2n=37M 18+XO,1,,,Serrano and Galian (1998),Blackmon_Coleoptera_Karyotype_DB
Ophraella communa,Ophraella_communa,Chrysomelidae,Coleoptera,ingroup,species,34,,2n=34M,1,,,"Petitpierre, Segarra, and Juan (1993)",Blackmon_Coleoptera_Karyotype_DB
Opilo mollis,Opilo_mollis,Cleridae,Coleoptera,ingroup,none,,,,0,,,,
Orchesia undulata,Orchesia_undulata,Melandryidae,Coleoptera,ingroup,none,,,,0,,,,
Orchestes rusci,Orchestes_rusci,Curculionidae,Coleoptera,ingroup,none,,,,0,,,,
Oryctes borbonicus,Oryctes_borbonicus,Scarabaeidae,Coleoptera,ingroup,genus,18,NeoXY,,4,18;20,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Oryctes rhinoceros,Oryctes_rhinoceros,Scarabaeidae,Coleoptera,ingroup,species,18,NeoXY,2n=18M 8+NeoXY,2,18;20,,"Yadav, Pillai, and Karamjeet (1979); A. Dutrillaux, Mamuris, and Dutrillaux (2013)",Blackmon_Coleoptera_Karyotype_DB
Osmylus fulvicephalus,Osmylus_fulvicephalus,Osmylidae,Neuroptera,outgroup,none,,,,0,,,,
Othius punctulatus,Othius_punctulatus,Staphylinidae,Coleoptera,ingroup,none,,,,0,,,,
Otiorhynchus rugosostriatus,Otiorhynchus_rugosostriatus,Curculionidae,Coleoptera,ingroup,genus,22,Xyp,,93,20;22;28;29;30;32;33;34;40;43;44;54,Genus-level: 58 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Oxystoma pomonae,Oxystoma_pomonae,Apionidae,Coleoptera,ingroup,genus,22,Xyp,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Pachyrhinus lethierryi,Pachyrhinus_lethierryi,Curculionidae,Coleoptera,ingroup,none,,,,0,,,,
Pachyrhynchus sulphureomaculatus,Pachyrhynchus_sulphureomaculatus,Curculionidae,Coleoptera,ingroup,genus,22,Xyp,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Paederus riparius,Paederus_riparius,Staphylinidae,Coleoptera,ingroup,none,,,,0,,,,
