species_name,assembly_accession,ncbi_bioproject,restriction_status,include_recommended
Anoplophora glabripennis,GCF_000390285.2,PRJNA167479,published_open,conditional
Popillia japonica,GCA_042919845.1,PRJNA1120502,published_open,yes
Agrilus planipennis,GCA_000699045.2,PRJNA230921,published_open,yes
Agrilus planipennis,GCF_000699045.2,PRJNA230921,published_open,yes
Oryctes rhinoceros,GCA_020654165.1,PRJNA752921,published_open,yes
Nicrophorus vespilloides,GCA_001412225.1,PRJNA284849,published_open,conditional
Nicrophorus vespilloides,GCF_001412225.1,PRJNA284849,published_open,conditional
Chrysomela aeneicollis,GCA_029955515.1,PRJNA941318,published_open,yes
Sitophilus oryzae,GCA_002938485.2,PRJNA431034,published_open,yes
Sitophilus oryzae,GCF_002938485.1,PRJNA431034,published_open,yes
Oryzaephilus surinamensis,GCA_052058915.1,PRJNA1282779,published_open,no
Hypothenemus hampei,GCA_041296355.1,PRJNA1110552,published_open,yes
Henosepilachna vigintioctopunctata,GCA_030704895.1,PRJNA626074,published_open,conditional
Cylas formicarius,GCA_029955315.1,PRJNA832148,published_open,yes
Cylas formicarius,GCF_029955315.1,PRJNA832148,published_open,yes
Dendroctonus valens,GCA_024550625.1,PRJNA765904,published_open,yes
Zophobas morio,GCA_036711695.1,PRJNA1015527,published_open,conditional
Zophobas morio,GCF_036711695.1,PRJNA1015527,published_open,conditional
Tribolium confusum,GCA_029207805.1,PRJNA782542,published_open,yes
Photinus pyralis,GCA_008802855.1,PRJNA378805,published_open,yes
Photinus pyralis,GCF_008802855.1,PRJNA378805,published_open,yes
Limonius californicus,GCA_014611495.1,PRJNA595620,published_open,no
Elaeidobius kamerunicus,GCA_014849505.1,PRJNA637822,published_open,no
Asbolus verrucosus,GCA_047676225.1,PRJNA1076268,published_open,conditional
Cryptolaemus montrouzieri,GCA_013387265.2,PRJNA626074,published_open,yes
Diaprepes abbreviatus,GCA_034092305.1,PRJNA973042,published_open,conditional
Dicheirus dilatatus,GCA_043773905.1,PRJNA1118742,published_open,yes
Acanthoscelides obtectus,GCA_963669975.1,PRJEB69220,published_open,yes
Cosmopolites sordidus,GCA_031761425.1,PRJNA817621,published_open,conditional
Lampyris noctiluca,GCA_050947525.1,PRJNA1238231,published_open,conditional
Gonioctena quinquepunctata,GCA_018342105.1,PRJNA701158,published_open,conditional
Trigonoscuta pilosa,GCA_046128435.1,PRJNA1136468,published_open,yes
Pissodes strobi,GCA_016904865.1,PRJNA588625,published_open,conditional
Dynastes hercules reidi,GCA_051939025.1,PRJNA815811,published_open,yes
Digitonthophagus gazella,GCA_036711955.1,PRJNA966967,published_open,yes
Agriotes sputator,GCA_044115325.2,PRJNA1137986,published_open,yes
Mylabris phalerata,GCA_020740385.1,PRJNA773621,published_open,conditional
Sternochetus mangiferae,GCA_051294475.1,PRJNA1199592,published_open,conditional
Larinus minutus,GCA_041228525.2,PRJNA1137999,published_open,yes
Dalotia coriaria,GCA_025399875.3,PRJNA342849,published_open,yes
Dalotia coriaria,GCF_025399875.1,PRJNA342849,published_open,yes
Epicauta chinensis,GCA_021725515.1,PRJNA683094,published_open,conditional
Anthonomus rubi,GCA_050242925.2,PRJNA1153348,published_open,yes
Hycleus cichorii,GCA_013841215.1,PRJNA390850,published_open,no
Tribolium madens,GCA_015345945.1,PRJNA668153,published_open,yes
Tribolium madens,GCF_015345945.1,PRJNA668153,published_open,yes
Neoclytus acuminatus acuminatus,GCA_047371185.1,PRJNA1201218,published_open,conditional
Batocera rufomaculata,GCA_050941775.1,PRJNA1209233,published_open,conditional
Rosalia funebris,GCA_037954035.1,PRJNA1063281,published_open,conditional
Donacia provostii,GCA_052550795.1,PRJNA1238083,published_open,yes
Rhagophthalmus giganteus,GCA_036326145.1,PRJNA884806,published_open,conditional
Phanaeus vindex,GCA_054832365.1,PRJNA1304933,published_open,yes
Agriotes ferrugineipennis,GCA_044115295.2,PRJNA1137978,published_open,yes
Onthophagus sagittarius,GCA_036711965.1,PRJNA966935,published_open,yes
Sinelater perroti,GCA_036346155.1,PRJNA884806,published_open,conditional
Stenolophus ochropezus,GCA_035578165.1,PRJNA849189,published_open,yes
Agriotes mancus,GCA_041228495.2,PRJNA1137982,published_open,yes
Dynastes maya,GCA_029619315.2,PRJNA815811,published_open,yes
Novius pumilus,GCA_020654155.1,PRJNA626074,published_open,conditional
Meloe dianella,GCA_028455855.1,PRJNA867391,published_open,conditional
Platerodrilus igneus,GCA_036346225.1,PRJNA884806,published_open,conditional
Lycocerus yunnanus,GCA_036346125.1,PRJNA884806,published_open,conditional
Troglocharinus ferreri,GCA_982185335.1,PRJEB96376,published_open,conditional
Vesta saturnalis,GCA_036346205.1,PRJNA884806,published_open,conditional
Sinopyrophorus schimmeli,GCA_036325965.1,PRJNA884806,published_open,conditional
Micraspis discolor,GCA_030674115.1,PRJNA626074,published_open,conditional
Calosoma relictum,GCA_055275695.1,PRJNA1390611,published_open,conditional
Canthon chalcites,GCA_054832385.1,PRJNA1304937,published_open,yes
Lucanus miwai,GCA_050437245.1,PRJNA1196107,published_open,yes
Calosoma tepidum,GCA_044734075.1,PRJNA1160031,published_open,yes
Agriotes obscurus,GCA_040955315.2,PRJNA1117586,published_open,yes
Exocentrus adspersus,GCA_029955175.1,PRJNA609440,published_open,conditional
Lethrus apterus,GCA_051989325.1,PRJNA1285827,published_open,yes
Labidomera clivicollis,GCA_051313465.2,PRJNA1153340,published_open,yes
Kuschelorhynchus macadamiae,GCA_030620095.1,PRJNA1000277,published_open,conditional
Dynastes tityus,GCA_029618875.2,PRJNA815811,published_open,yes
Carabus depressus,GCA_048127345.1,PRJNA1171461,published_open,conditional
Trypodendron lineatum,GCA_055532135.1,PRJNA1368887,published_open,conditional
Rhamnusium bicolor,GCA_029963845.1,PRJNA609440,published_open,conditional
Cynegetis impunctata,GCA_030704885.1,PRJNA626074,published_open,conditional
Calosoma wilkesii,GCA_044734065.1,PRJNA1160031,published_open,yes
Zygogramma bicolorata,GCA_032362365.1,PRJNA1010988,published_open,conditional
Dermolepida albohirtum,GCA_031893035.2,PRJNA1001588,published_open,conditional
Abscondita cerata,GCA_030710515.1,PRJNA699421,published_open,conditional
Lethrus scoparius,GCA_052696345.1,PRJNA1091353,published_open,conditional
Dynastes grantii,GCA_029619325.2,PRJNA815811,published_open,yes
Araecerus fasciculatus,GCA_050578095.1,PRJNA1031120,published_open,conditional
Agriotes pubescens,GCA_044115395.2,PRJNA1137974,published_open,conditional
Astagobius angustatus,GCA_965278915.1,PRJEB76282,published_open,conditional
Nebria ingens riversi,GCA_018344505.1,PRJNA671697,published_open,conditional
Carabus blaptoides fortunei,GCA_050785175.1,PRJDB5357,published_open,yes
Oryctes borbonicus,GCA_902654985.2,PRJEB34604,published_open,yes
Molorchus minor,GCA_029963825.1,PRJNA609440,published_open,conditional
Xyleborus bispinatus,GCA_049176215.1,PRJNA1215904,published_open,yes
Listronotus bonariensis,GCA_014170235.1,PRJNA640511,published_open,conditional
Marronus borbonicus,GCA_902655005.2,PRJEB34604,published_open,yes
Diploeciton nevermanni,GCA_027575565.1,PRJNA341503,published_open,yes
Xyleborus affinis,GCA_046766355.1,PRJNA1169561,published_open,yes
Dynastes hyllus,GCA_029619255.2,PRJNA815811,published_open,yes
Hycleus phaleratus,GCA_013841185.1,PRJNA390850,published_open,no
Hydrochus callosus,GCA_033557855.1,PRJNA977672,published_open,no
Listronotus oregonensis,GCA_019359885.1,PRJNA726155,published_open,no
Helochares maculicollis,GCA_033557835.1,PRJNA977672,published_open,no
Carabus esakii,GCA_054785535.1,PRJDB5403,published_open,yes
Calligrapha alni,GCA_046129895.1,PRJNA1153342,published_open,no
Plateumaris germari,GCA_050242995.1,PRJNA1153337,published_open,no
Sperchopsis tessellata,GCA_033557685.1,PRJNA977672,published_open,no
Ignelater luminosus,GCA_011009095.1,PRJNA418169,published_open,no
Lydus trimaculatus,GCA_037414755.1,PRJNA1067880,published_open,no
Anaulacaspis nigra,GCA_030264675.1,PRJNA764224,published_open,no
Xyleborus glabratus,GCA_049176235.1,PRJNA1215918,published_open,no
Coptodactyla brooksi,GCA_033557675.1,PRJNA977672,published_open,no
Ecitoglossa quadriceps,GCA_027574925.1,PRJNA352555,published_open,conditional
Nipponaphaenops erraticus,GCA_050230155.1,PRJNA1237515,published_open,no
Galerucella tenella,GCA_910591685.1,PRJEB44256,published_open,no
Iselma pallidipennis,GCA_037464855.1,PRJNA1067880,published_open,no
Galerucella calmariensis,GCA_910591675.1,PRJEB44256,published_open,no
Mimaenictus wilsoni,GCA_027575185.1,PRJNA397438,published_open,no
Galerucella pusilla,GCA_910591695.1,PRJEB44256,published_open,no
Nicrophorus orbicollis,GCA_018845635.2,PRJNA371654,published_open,no
Calosoma granatense,GCA_022063505.1,PRJNA706924,published_open,yes
Aleochara bilineata,GCA_003054995.1,PRJNA378164,published_open,no
Trechiama lewisi,GCA_050230255.1,PRJNA1237515,published_open,no
Quadriops clusia,GCA_033557875.1,PRJNA977672,published_open,no
Osmoderma eremita,GCA_031763485.1,PRJNA901143,published_open,no
Zonitis immaculata,GCA_037414775.1,PRJNA1067880,published_open,no
Trechiama kuznetsovi,GCA_054771555.1,PRJDB15628,published_open,no
Stenodera caucasica,GCA_037414795.1,PRJNA1067880,published_open,no
Liometoxenus newtonarum,GCA_030264535.1,PRJNA764224,published_open,no
Weissflogia rhopalogaster,GCA_019419845.2,PRJNA397445,published_open,no
Enochrus cinctus,GCA_033557785.1,PRJNA977672,published_open,no
Adranes taylori,GCA_009867245.2,PRJNA397423,published_open,no
Ecitophya simulans,GCA_027574965.2,PRJNA342851,published_open,no
Platyusa sonomae,GCA_027576655.1,PRJNA397579,published_open,no
Blemus discus,GCA_050230235.1,PRJNA1237515,published_open,no
Sceptobius lativentris,GCA_025399995.1,PRJNA397576,published_open,no
Labidoglobus nevermanni,GCA_025447835.1,PRJNA352554,published_open,no
Leptinotarsa lineolata,GCA_015342045.1,PRJNA580490,published_open,no
Oxypoda opaca,GCA_030264175.1,PRJNA764224,published_open,no
Leptinotarsa undecemlineata,GCA_015342065.1,PRJNA580490,published_open,no
Leptinotarsa texana,GCA_015342105.1,PRJNA580490,published_open,no
Pseudomimeciton antennatum,GCA_027576155.1,PRJNA342853,published_open,no
Mylabris variabilis,GCA_037464815.1,PRJNA1067880,published_open,no
Leptinotarsa defecta,GCA_015342085.1,PRJNA580490,published_open,no
Lissagria laeviuscula,GCA_030264695.1,PRJNA764224,published_open,no
Atheta pasadenae,GCA_030264155.1,PRJNA764224,published_open,no
Ecitomorpha arachnoides,GCA_027574945.2,PRJNA352556,published_open,no
Thyregis relictus,GCA_033557495.1,PRJNA977672,published_open,no
Kurasawatrechus hirakei hirakei,GCA_050230135.1,PRJNA1237515,published_open,no
Coproporus ventriculus,GCA_027574865.2,PRJNA342850,published_open,no
Amphistomus primonactus,GCA_033557545.1,PRJNA977672,published_open,no
Leptinotarsa tumamoca,GCA_015342025.1,PRJNA580490,published_open,no
Diorygopyx duplodentatus,GCA_033557515.1,PRJNA977672,published_open,no
Leptinotarsa peninsularis,GCA_015342205.1,PRJNA580490,published_open,no
Deinopsis erosa,GCA_027574845.2,PRJNA361286,published_open,no
Earota dentata,GCA_027574905.2,PRJNA361303,published_open,no
Leptinotarsa rubiginosa,GCA_015342145.1,PRJNA580490,published_open,no
Leptinotarsa juncta,GCA_015342185.1,PRJNA580490,published_open,no
Phrixothrix hirtus,GCA_024586415.1,PRJNA741915,published_open,no
Leptinotarsa haldemani,GCA_015342125.1,PRJNA580490,published_open,no
Tetradonia laticeps,GCA_025400035.1,PRJNA342852,published_open,no
Dorylogaster longipes,GCA_027580035.1,PRJNA342857,published_open,no
Cypha longicornis,GCA_030264615.1,PRJNA764224,published_open,no
Aenictocupidus jacobsonorum,GCA_010014765.2,PRJNA397425,published_open,no
Temnoplectron lewisense,GCA_033557385.1,PRJNA977672,published_open,no
Labidopullus appendiculatus,GCA_027574705.1,PRJNA352553,published_open,no
Sarophorus costatus,GCA_032191635.1,PRJNA977672,published_open,no
Chrysina resplendens,GCA_010091895.2,PRJNA341359,published_open,no
Alaus oculatus,GCA_009852465.2,PRJNA578932,published_open,no
Aphodius immundus,GCA_032191705.1,PRJNA977672,published_open,no
Caccobius schreberi,GCA_033557405.1,PRJNA977672,published_open,no
Helictopleurus sicardi,GCA_033557245.1,PRJNA977672,published_open,no
Euoniticellus fulvus,GCA_032191655.1,PRJNA977672,published_open,no
Copris fidius,GCA_032191685.1,PRJNA977672,published_open,no
Nanos vadoni,GCA_032191565.1,PRJNA977672,published_open,no
Epilissus splendidus,GCA_033557285.1,PRJNA977672,published_open,no
Anoplophora glabripennis,GCA_054644005.1,PRJNA1393341,to_verify,yes
Dailognatha quadricollis,GCA_976941425.1,PRJEB97075,check_ebp_dtol,yes
Tribolium castaneum,GCA_041430155.1,PRJNA1077124,to_verify,yes
Leptinotarsa decemlineata,GCA_024712935.1,PRJNA854273,to_verify,yes
Harmonia axyridis,GCA_011033045.2,PRJNA579455,to_verify,yes
Tenebrio molitor,GCA_037075425.1,PRJNA886748,to_verify,yes
Monochamus alternatus,GCA_035320865.1,PRJNA819115,to_verify,yes
Plagiodera versicolora,GCA_035321685.1,PRJNA1045844,to_verify,yes
Plagiodera versicolora,GCA_963584125.1,PRJEB68210,check_ebp_dtol,yes
Plagiodera versicolora,GCA_047716315.1,PRJNA1194376,to_verify,yes
Chrysomela aeneicollis,GCA_027562985.1,PRJNA693623,to_verify,yes
Anthonomus grandis thurberiae,GCA_030068095.1,PRJNA807464,to_verify,yes
Euwallacea fornicatus,GCA_040115655.1,PRJNA1086994,to_verify,yes
Agrilus mali,GCA_029378335.1,PRJNA933091,to_verify,yes
Tribolium confusum,GCA_019155225.1,PRJNA715483,to_verify,yes
Rhyzopertha dominica,GCA_054553145.1,PRJNA1330578,to_verify,yes
Ips sexdentatus,GCA_976954485.1,PRJEB98042,check_ebp_dtol,yes
Arhopalus rusticus,GCA_964213965.2,PRJEB78853,check_ebp_dtol,yes
Arhopalus rusticus,GCA_964213945.2,PRJEB78854,check_ebp_dtol,yes
Amara ovata,GCA_965279875.1,PRJEB89411,check_ebp_dtol,yes
Phaedon cochleariae,GCA_918026855.4,PRJEB47900,check_ebp_dtol,yes
Polydrusus tereticollis,GCA_963576705.1,PRJEB68123,check_ebp_dtol,yes
Tribolium freemani,GCA_022388455.1,PRJNA764226,to_verify,yes
Agriotes lineatus,GCA_940337035.1,PRJEB47908,check_ebp_dtol,yes
Onthophagus binodis,GCA_054643955.1,PRJNA1308621,to_verify,yes
Laparocerus anagae,GCA_976997095.1,PRJEB83458,check_ebp_dtol,yes
Hypera rumicis,GCA_965643715.1,PRJEB94004,check_ebp_dtol,yes
Amara familiaris,GCA_978123715.1,PRJEB107154,check_ebp_dtol,yes
Laccobius striatulus,GCA_965654235.1,PRJEB94829,check_ebp_dtol,yes
Biphyllus lunatus,GCA_965194665.1,PRJEB86442,check_ebp_dtol,yes
Limonius poneli,GCA_965119585.1,PRJEB85521,check_ebp_dtol,yes
Phyllobius virideaeris,GCA_965642995.1,PRJEB93898,check_ebp_dtol,yes
Prionocyphon serricornis,GCA_965648555.1,PRJEB94377,check_ebp_dtol,yes
Phyllobius argentatus,GCA_965654395.1,PRJEB94831,check_ebp_dtol,yes
Lasiorhynchites cavifrons,GCA_976919195.1,PRJEB97131,check_ebp_dtol,yes
Euwallacea similis,GCA_039881215.1,PRJNA1086994,to_verify,yes
Leistus fulvibarbis,GCA_965644585.1,PRJEB94211,check_ebp_dtol,yes
Nalassus laevioctostriatus,GCA_965649375.1,PRJEB94437,check_ebp_dtol,yes
Catops nigricans,GCA_965642105.1,PRJEB92393,check_ebp_dtol,yes
Larinus planus,GCA_977012685.1,PRJEB101225,check_ebp_dtol,yes
Drilus flavescens,GCA_973896695.1,PRJEB96436,check_ebp_dtol,yes
Chaetocnema hortensis,GCA_965653175.1,PRJEB94556,check_ebp_dtol,yes
Anthobium unicolor,GCA_965663555.1,PRJEB94973,check_ebp_dtol,yes
Tribolium castaneum,GCA_031307295.1,PRJNA866666,to_verify,conditional
Harmonia axyridis,GCA_914767675.1,PRJEB47374,check_ebp_dtol,conditional
Harmonia axyridis,GCA_003402655.2,PRJDB3183,to_verify,yes
Harmonia axyridis,GCA_003865315.1,PRJDB7050,to_verify,conditional
Harmonia axyridis,GCA_003865295.1,PRJDB7050,to_verify,conditional
Harmonia axyridis,GCA_003865275.1,PRJDB7050,to_verify,no
Leptinotarsa decemlineata,GCA_025532075.1,PRJNA750038,to_verify,conditional
Leptinotarsa decemlineata,GCA_025532095.1,PRJNA750038,to_verify,yes
Tenebrio molitor,GCA_907166875.3,PRJEB44755,check_ebp_dtol,yes
Tenebrio molitor,GCA_027725215.1,PRJNA820846,to_verify,yes
Tenebrio molitor,GCA_963966125.1,PRJEB72559,check_ebp_dtol,conditional
Rhynchophorus ferrugineus,GCA_014490705.1,PRJNA601952,to_verify,conditional
Rhynchophorus ferrugineus,GCA_014462685.1,PRJNA599933,to_verify,conditional
Rhynchophorus ferrugineus,GCA_012979105.1,PRJNA524026,to_verify,yes
Tenebrio molitor,GCA_014282415.3,PRJNA579236,to_verify,no
Dendroctonus ponderosae,GCA_020466635.2,PRJNA638274,to_verify,yes
Dendroctonus ponderosae,GCA_000346045.2,PRJNA179493,to_verify,conditional
Callosobruchus maculatus,GCA_951848785.1,PRJEB62873,check_ebp_dtol,conditional
Callosobruchus maculatus,GCA_900659725.1,PRJEB30475,check_ebp_dtol,conditional
Callosobruchus maculatus,GCA_949361665.2,PRJEB60338,check_ebp_dtol,yes
Popillia japonica,GCA_042919755.1,PRJNA1120503,to_verify,yes
Trypoxylus dichotomus,GCA_014905495.1,PRJDB10500,to_verify,conditional
Popillia japonica,GCA_040143775.1,PRJNA860365,to_verify,conditional
Trypoxylus dichotomus,GCA_050785125.1,PRJDB12657,to_verify,yes
Popillia japonica,GCA_004785975.1,PRJNA514809,to_verify,no
Popillia japonica,GCA_031211285.1,PRJNA358717,to_verify,no
Onthophagus taurus,GCA_033624655.1,PRJNA977672,to_verify,no
Nicrophorus vespilloides,GCA_048003765.1,PRJNA1123269,to_verify,yes
Plagiodera versicolora,GCA_963585885.1,PRJEB68209,check_ebp_dtol,conditional
Aethina tumida,GCA_024364635.1,PRJNA825646,to_verify,conditional
Plagiodera versicolora,GCA_025400015.1,PRJNA497053,to_verify,no
Chrysomela aeneicollis,GCA_029955535.1,PRJNA941317,to_verify,yes
Oryzaephilus surinamensis,GCA_004796505.1,PRJNA356192,to_verify,no
Anthonomus grandis grandis,GCA_022605985.2,PRJNA807391,to_verify,conditional
Anthonomus grandis thurberiae,GCA_030068065.1,PRJNA812949,to_verify,conditional
Coccinella septempunctata,GCA_907165185.1,PRJEB44628,check_ebp_dtol,conditional
Euwallacea fornicatus,GCA_042767475.1,PRJNA1120046,to_verify,yes
Euwallacea fornicatus,GCA_040114445.1,PRJNA1092095,to_verify,conditional
Euwallacea fornicatus,GCA_042767365.1,PRJNA1120047,to_verify,yes
Euwallacea fornicatus,GCA_040114495.1,PRJNA1092095,to_verify,conditional
Cylas formicarius,GCA_029955295.1,PRJNA942419,to_verify,conditional
Hypothenemus hampei,GCA_013372445.1,PRJNA626647,to_verify,conditional
Coccinella septempunctata,GCA_003568925.1,PRJDB7050,to_verify,no
Hypothenemus hampei,GCA_001012855.1,PRJNA279497,to_verify,no
Zophobas morio,GCA_042767095.1,PRJNA1154464,to_verify,yes
Aleochara curtula,GCA_963978855.1,PRJEB73700,check_ebp_dtol,conditional
Adalia bipunctata,GCA_910591895.1,PRJEB45687,check_ebp_dtol,yes
Poecilus cupreus,GCA_963942615.1,PRJEB72472,check_ebp_dtol,yes
Rhyzopertha dominica,GCA_025024175.1,PRJNA449115,to_verify,yes
Zophobas morio,GCA_027724725.1,PRJNA820846,to_verify,yes
Tribolium confusum,GCA_029207795.1,PRJNA803226,to_verify,conditional
Gnatocerus cornutus,GCA_029298695.1,PRJNA816610,to_verify,no
Elaeidobius kamerunicus,GCA_945836925.1,PRJEB54717,check_ebp_dtol,no
Asbolus verrucosus,GCA_047676095.1,PRJNA1076267,to_verify,conditional
Lagria hirta,GCA_947359435.1,PRJEB57605,check_ebp_dtol,conditional
Dicheirus dilatatus,GCA_043773845.1,PRJNA1118743,to_verify,yes
Philonthus spinipes,GCA_963082675.1,PRJEB64819,check_ebp_dtol,conditional
Uleiota planata,GCA_965112435.1,PRJEB84219,check_ebp_dtol,yes
Diorhabda carinulata,GCA_026250545.1,PRJNA887102,to_verify,conditional
Melanotus villosus,GCA_963082845.1,PRJEB64849,check_ebp_dtol,yes
Gastrophysa viridula,GCA_965641435.1,PRJEB91874,check_ebp_dtol,yes
Acanthoscelides obtectus,GCA_933228535.1,PRJEB51445,check_ebp_dtol,conditional
Diabrotica undecimpunctata,GCA_040955085.1,PRJNA1090231,to_verify,conditional
Rhagonycha fulva,GCA_905340395.1,PRJEB43727,check_ebp_dtol,conditional
Liopterus haemorrhoidalis,GCA_963971565.1,PRJEB73543,check_ebp_dtol,conditional
Melinopterus prodromus,GCA_964023935.1,PRJEB74735,check_ebp_dtol,conditional
Trigonoscuta pilosa,GCA_046128455.1,PRJNA1136469,to_verify,conditional
Protaetia brevitarsis,GCA_004143645.1,PRJNA477715,to_verify,yes
Ophraella communa,GCA_902651945.1,PRJEB35242,check_ebp_dtol,conditional
Diorhabda sublineata,GCA_026230165.1,PRJNA887111,to_verify,conditional
Diorhabda carinata,GCA_029229525.1,PRJNA887446,to_verify,conditional
Latheticus oryzae,GCA_030157245.1,PRJNA816611,to_verify,conditional
Diorhabda elongata,GCA_026230125.1,PRJNA887437,to_verify,no
Diorhabda carinulata,GCA_020975425.1,PRJNA513507,to_verify,conditional
Asbolus verrucosus,GCA_004193795.1,PRJNA354432,to_verify,no
Cetonia aurata,GCA_949128095.1,PRJEB59501,check_ebp_dtol,conditional
Dynastes hercules hercules,GCA_051939005.1,PRJNA815811,to_verify,yes
Dynastes hercules paschoali,GCA_051938985.1,PRJNA815811,to_verify,yes
Dynastes hercules septentrionalis,GCA_051938965.1,PRJNA815811,to_verify,yes
Tribolium madens,GCA_965279765.1,PRJEB89229,check_ebp_dtol,conditional
Agriotes sputator,GCA_044115275.2,PRJNA1137987,to_verify,yes
Aromia moschata,GCA_965642155.1,PRJEB92390,check_ebp_dtol,yes
Leptura quadrifasciata,GCA_963675865.1,PRJEB69337,check_ebp_dtol,conditional
Hallomenus binotatus,GCA_965648505.1,PRJEB94375,check_ebp_dtol,yes
Serica brunnea,GCA_973358345.1,PRJEB96438,check_ebp_dtol,yes
Adalia decempunctata,GCA_951802185.1,PRJEB62626,check_ebp_dtol,conditional
Harpalus anxius,GCA_965601815.1,PRJEB90519,check_ebp_dtol,yes
Agriotes lineatus,GCA_965788365.1,PRJEB95120,check_ebp_dtol,yes
Lochmaea capreae,GCA_949126855.1,PRJEB59459,check_ebp_dtol,yes
Diaperis boleti,GCA_963583915.1,PRJEB68177,check_ebp_dtol,conditional
Larinus minutus,GCA_041228435.2,PRJNA1138000,to_verify,yes
Philonthus cognatus,GCA_932526485.1,PRJEB51382,check_ebp_dtol,yes
Phaedon cochleariae,GCA_979300185.1,PRJEB107947,check_ebp_dtol,yes
Agrilus biguttatus,GCA_963921965.1,PRJEB71838,check_ebp_dtol,conditional
Apoderus coryli,GCA_911728465.1,PRJEB46625,check_ebp_dtol,conditional
Harpalus rufipes,GCA_951394325.1,PRJEB62059,check_ebp_dtol,yes
Geotrupes spiniger,GCA_959613335.1,PRJEB64513,check_ebp_dtol,conditional
Neocrepidodera transversa,GCA_963277525.1,PRJEB65058,check_ebp_dtol,yes
Cantharis nigra,GCA_958510835.1,PRJEB64390,check_ebp_dtol,conditional
Oxystoma pomonae,GCA_963921945.1,PRJEB71842,check_ebp_dtol,conditional
Cantharis rustica,GCA_911387815.1,PRJEB46422,check_ebp_dtol,yes
Leptodirus hochenwartii,GCA_947310685.1,PRJEB57371,check_ebp_dtol,conditional
Chrysomela populi,GCA_965642275.1,PRJEB93768,check_ebp_dtol,yes
Myrrha octodecimguttata,GCA_958510795.1,PRJEB64392,check_ebp_dtol,conditional
Aromia moschata,GCA_029963805.1,PRJNA609440,to_verify,conditional
Cantharis flavilabris,GCA_949152385.1,PRJEB59845,check_ebp_dtol,conditional
Cantharis rufa,GCA_947369215.1,PRJEB57709,check_ebp_dtol,conditional
Malachius bipustulatus,GCA_910589365.1,PRJEB45314,check_ebp_dtol,conditional
Gastrophysa polygoni,GCA_963576645.1,PRJEB68117,check_ebp_dtol,conditional
Bruchidius siliquastri,GCA_949316485.1,PRJEB60136,check_ebp_dtol,conditional
Halyzia sedecimguttata,GCA_937616445.2,PRJEB52233,check_ebp_dtol,conditional
Cantharis lateralis,GCA_963170035.1,PRJEB64908,check_ebp_dtol,conditional
Curculio caryae,GCA_051048005.1,PRJNA813603,to_verify,conditional
Nebria salina,GCA_944039265.1,PRJEB53511,check_ebp_dtol,conditional
Melolontha melolontha,GCA_935421255.1,PRJEB51928,check_ebp_dtol,conditional
Ceutorhynchus obstrictus,GCA_965178005.1,PRJEB86218,check_ebp_dtol,conditional
Agonum fuliginosum,GCA_947534335.1,PRJEB58063,check_ebp_dtol,conditional
Malthinus flaveolus,GCA_950111595.1,PRJEB61705,check_ebp_dtol,conditional
Othius punctulatus,GCA_951805015.1,PRJEB62772,check_ebp_dtol,conditional
Stenurella melanura,GCA_963584005.1,PRJEB68170,check_ebp_dtol,conditional
Cryptocephalus moraei,GCA_946251935.1,PRJEB55435,check_ebp_dtol,conditional
Pterostichus niger,GCA_947425025.1,PRJEB57830,check_ebp_dtol,conditional
Polydrusus cervinus,GCA_935413225.1,PRJEB51934,check_ebp_dtol,conditional
Ophonus ardosiacus,GCA_943138245.1,PRJEB52909,check_ebp_dtol,conditional
Crioceris asparagi,GCA_958501965.1,PRJEB64384,check_ebp_dtol,conditional
Harpalus rubripes,GCA_963083015.1,PRJEB64812,check_ebp_dtol,conditional
Nicrophorus investigator,GCA_963457645.1,PRJEB66141,check_ebp_dtol,conditional
Podabrus alpinus,GCA_932273715.1,PRJEB51186,check_ebp_dtol,conditional
Chrysolina americana,GCA_958501925.1,PRJEB64386,check_ebp_dtol,conditional
Schizotus pectinicornis,GCA_951805255.1,PRJEB62790,check_ebp_dtol,conditional
Agrilus cyanescens,GCA_947389945.1,PRJEB57758,check_ebp_dtol,conditional
Scaphidium quadrimaculatum,GCA_965283225.1,PRJEB89535,check_ebp_dtol,yes
Aspidapion aeneum,GCA_963576425.1,PRJEB68112,check_ebp_dtol,conditional
Salpingus planirostris,GCA_949789865.1,PRJEB61167,check_ebp_dtol,conditional
Ctenicera cuprea,GCA_958336375.1,PRJEB64317,check_ebp_dtol,conditional
Agrypnus murinus,GCA_929114945.1,PRJEB50665,check_ebp_dtol,conditional
Cartodere bifasciata,GCA_963920745.1,PRJEB71556,check_ebp_dtol,conditional
Carabus problematicus,GCA_963422185.1,PRJEB65489,check_ebp_dtol,conditional
Phosphuga atrata,GCA_944567605.1,PRJEB53720,check_ebp_dtol,conditional
Drusilla canaliculata,GCA_965644185.1,PRJEB94097,check_ebp_dtol,yes
Nebria brevicollis,GCA_944739395.1,PRJEB53867,check_ebp_dtol,conditional
Agriotes lineatus,GCA_040955365.2,PRJNA1117927,to_verify,conditional
Agelastica alni,GCA_950106765.2,PRJEB61674,check_ebp_dtol,conditional
Nedyus quadrimaculatus,GCA_977969695.1,PRJEB105449,check_ebp_dtol,conditional
Anthonomus rubi,GCA_050242875.2,PRJNA1153345,to_verify,yes
Leistus spinibarbis,GCA_933228875.1,PRJEB51583,check_ebp_dtol,conditional
