species_name,assembly_accession,bioproject,current_status,risk_level,recommended_action,notes,student_verified,final_status
Dorylogaster longipes,GCA_027580035.1,PRJNA342857,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Dorysthenes granulosus,GCA_052815825.1,PRJNA1309263,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Drilus flavescens,GCA_973896625.1,PRJEB96437,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Dromius quadrimaculatus,GCA_963989225.1,PRJEB73740,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Drusilla canaliculata,GCA_965644065.1,PRJEB94098,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Dynastes grantii,GCA_029619325.2,PRJNA815811,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Dynastes hercules hercules,GCA_051939005.1,PRJNA815811,to_verify,LOW,Standard NCBI submission - verify publication,,,
Dynastes hercules paschoali,GCA_051938985.1,PRJNA815811,to_verify,LOW,Standard NCBI submission - verify publication,,,
Dynastes hercules reidi,GCA_051939025.1,PRJNA815811,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Dynastes hercules septentrionalis,GCA_051938965.1,PRJNA815811,to_verify,LOW,Standard NCBI submission - verify publication,,,
Dynastes hyllus,GCA_029619255.2,PRJNA815811,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Dynastes maya,GCA_029619315.2,PRJNA815811,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Dynastes tityus,GCA_029618875.2,PRJNA815811,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Earota dentata,GCA_027574905.2,PRJNA361303,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Ecitodaemon sp. MM-2014,GCA_030557295.1,PRJNA764224,to_verify,LOW,Standard NCBI submission - verify publication,,,
Ecitoglossa quadriceps,GCA_027574925.1,PRJNA352555,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Ecitomorpha arachnoides,GCA_027574945.2,PRJNA352556,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Ecitophya simulans,GCA_027574965.2,PRJNA342851,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Elaeidobius kamerunicus,GCA_014849505.1,PRJNA637822,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Eledona agricola,GCA_964023215.2,PRJEB74607,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Elmis aenea,GCA_947652605.1,PRJEB58378,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Endomychus armeniacus,GCA_977013105.1,PRJEB96518,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Endomychus coccineus,GCA_958510875.1,PRJEB64394,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Enochrus cinctus,GCA_033557785.1,PRJNA977672,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Epicauta chinensis,GCA_021725515.1,PRJNA683094,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Epilissus splendidus,GCA_033557285.1,PRJNA977672,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Eucryptorrhynchus brandti,GCA_040894065.1,PRJNA663368,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Eucryptorrhynchus scrobiculatus,GCA_046736385.1,PRJNA663363,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Eulagius filicornis,GCA_965643585.1,PRJEB93940,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Euoniticellus fulvus,GCA_032191655.1,PRJNA977672,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Euroleon coreanus,GCA_055703665.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Euroleon flavicorpus,GCA_055703585.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Euroleon nostras,GCA_055703605.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Euroleon parvus,GCA_055701355.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Euroleon polyspilus,GCA_055703565.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Euroleon sp. B7533-1,GCA_055703625.1,PRJNA1403738,to_verify,LOW,Standard NCBI submission - verify publication,,,
Euroleon sp. EPXJ,GCA_055703525.1,PRJNA1403738,to_verify,LOW,Standard NCBI submission - verify publication,,,
Euroleon sp. EUQH1,GCA_055703505.1,PRJNA1403738,to_verify,LOW,Standard NCBI submission - verify publication,,,
Euwallacea fornicatus,GCF_040115645.1,PRJNA1086994,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Euwallacea similis,GCF_039881205.1,PRJNA1086994,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Exocentrus adspersus,GCA_029955175.1,PRJNA609440,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Falagria sp. GC000072,GCA_030556245.1,PRJNA764224,to_verify,LOW,Standard NCBI submission - verify publication,,,
Fusoleon stigmatus,GCA_055698035.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Galeruca laticollis,GCA_963921935.1,PRJEB71836,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Galerucella calmariensis,GCA_910591675.1,PRJEB44256,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Galerucella nymphaeae,GCA_963978555.1,PRJEB73618,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Galerucella pusilla,GCA_910591695.1,PRJEB44256,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Galerucella sagittariae,GCA_980434365.1,PRJEB108406,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Galerucella tenella,GCA_910591685.1,PRJEB44256,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Gastrophysa polygoni,GCA_963576655.1,PRJEB68118,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Gastrophysa viridula,GCA_965641405.1,PRJEB91873,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Geostiba sp. GC000077,GCA_030264215.1,PRJNA764224,to_verify,LOW,Standard NCBI submission - verify publication,,,
Geotrupes spiniger,GCA_959613385.1,PRJEB64512,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Glenurus gratus,GCA_055697025.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Gnatocerus cornutus,GCA_029298725.1,PRJNA767424,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Gonioctena quinquepunctata,GCA_018342105.1,PRJNA701158,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Gonodera luperus,GCA_977014565.1,PRJEB101655,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Graciliella metohijensis,GCA_978019395.1,PRJEB77400,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Grammoptera ruficornis,GCA_964332215.1,PRJEB82218,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Grypus equiseti,GCA_964656865.1,PRJEB83600,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Gymnusa sp. GC000175,GCA_030264735.1,PRJNA764224,to_verify,LOW,Standard NCBI submission - verify publication,,,
Hagenomyia conjuncta,GCA_055703845.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Hagenomyia fuscithoraca,GCA_055701195.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Hagenomyia sagax,GCA_055701245.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Hagenomyia tristis,GCA_055703865.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Hallomenus binotatus,GCA_965648495.1,PRJEB94374,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Halyzia sedecimguttata,GCA_937662695.2,PRJEB52234,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Harmonia axyridis,GCF_914767665.1,PRJEB47373,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Harmonia quadripunctata,GCA_965642415.1,PRJEB93843,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Harpalus anxius,GCA_965601895.1,PRJEB90518,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Harpalus rubripes,GCA_963082715.1,PRJEB64813,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Harpalus rufipes,GCA_951394225.1,PRJEB62060,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Helictopleurus sicardi,GCA_033557245.1,PRJNA977672,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Helochares maculicollis,GCA_033557835.1,PRJNA977672,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Hemicrepidius hirtus,GCA_963082805.1,PRJEB64845,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Henosepilachna vigintioctopunctata,GCA_030704895.1,PRJNA626074,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Hermaeophaga mercurialis,GCA_951812935.1,PRJEB63008,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Herpes porcellus,GCA_981691985.1,PRJEB108880,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Hippodamia convergens,GCA_038502775.1,PRJNA1017495,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Hippodamia variegata,GCA_046424425.1,PRJNA1172969,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Holobus sp. GC000080,GCA_030556065.1,PRJNA764224,to_verify,LOW,Standard NCBI submission - verify publication,,,
Hololepta plana,GCA_963695495.2,PRJEB70901,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Holotrichia oblita,GCA_023690525.1,PRJNA812706,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Hycleus cichorii,GCA_013841215.1,PRJNA390850,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Hycleus marcipoli,GCA_051167335.1,PRJNA1225931,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Hycleus phaleratus,GCA_013841185.1,PRJNA390850,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Hydrochus callosus,GCA_033557855.1,PRJNA977672,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Hypera rumicis,GCA_965643735.1,PRJEB94005,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Hypothenemus hampei,GCA_041296355.1,PRJNA1110552,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Ichthyurus bourgeoisi,GCA_052863015.1,PRJNA1308319,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Ignelater luminosus,GCA_011009095.1,PRJNA418169,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Ips nitidus,GCA_018691245.2,PRJNA722788,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Ips sexdentatus,GCA_976954535.1,PRJEB98041,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Ips typographus,GCA_016097725.2,PRJNA671615,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Iselma pallidipennis,GCA_037464855.1,PRJNA1067880,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Kibakoganea sinica,GCA_043790905.1,PRJNA1120644,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Kibakoganea tamdaoensis,GCA_046237675.1,PRJNA1188715,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Kirghizoleon cubitalis,GCA_055703485.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Kurasawatrechus hirakei hirakei,GCA_050230135.1,PRJNA1237515,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Kuschelorhynchus macadamiae,GCA_030620095.1,PRJNA1000277,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Kyklioacalles roboris,GCA_964211925.1,PRJEB78586,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Labidoglobus nevermanni,GCA_025447835.1,PRJNA352554,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Labidomera clivicollis,GCA_051313465.2,PRJNA1153340,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Labidopullus appendiculatus,GCA_027574705.1,PRJNA352553,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Laccobius striatulus,GCA_965654275.1,PRJEB94828,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Lagria hirta,GCA_947359425.1,PRJEB57606,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Lamprigera yunnana,GCA_013368075.1,PRJNA556754,to_verify,LOW,Standard NCBI submission - verify publication,,,
Lampyris noctiluca,GCA_050947525.1,PRJNA1238231,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Laparocerus anagae,GCA_976997085.1,PRJEB98920,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Larinus minutus,GCA_041228525.2,PRJNA1137999,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Larinus planus,GCA_977012605.1,PRJEB101224,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Larinus ursus,GCA_979861375.2,PRJEB89504,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Lasiorhynchites cavifrons,GCA_976916715.1,PRJEB97130,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Latheticus oryzae,GCA_030157265.1,PRJNA767393,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Lathrobium brunnipes,GCA_965240315.1,PRJEB88417,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Leiosoma deflexum,GCA_965260835.1,PRJEB88798,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Leistus fulvibarbis,GCA_965644575.1,PRJEB94212,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Leistus rufomarginatus,GCA_966112595.1,PRJEB95788,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Leistus spinibarbis,GCA_933228885.1,PRJEB51584,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Leonhardella angulicollis,GCA_978019415.1,PRJEB77402,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Leptinotarsa decemlineata,GCA_024712935.1,PRJNA854273,to_verify,LOW,Likely fine - has RefSeq status,,,
Leptinotarsa defecta,GCA_015342085.1,PRJNA580490,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Leptinotarsa haldemani,GCA_015342125.1,PRJNA580490,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Leptinotarsa juncta,GCA_015342185.1,PRJNA580490,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Leptinotarsa lineolata,GCA_015342045.1,PRJNA580490,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Leptinotarsa peninsularis,GCA_015342205.1,PRJNA580490,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Leptinotarsa rubiginosa,GCA_015342145.1,PRJNA580490,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Leptinotarsa texana,GCA_015342105.1,PRJNA580490,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Leptinotarsa tumamoca,GCA_015342025.1,PRJNA580490,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Leptinotarsa undecemlineata,GCA_015342065.1,PRJNA580490,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Leptodirus hochenwartii,GCA_947310635.1,PRJEB57372,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Leptura quadrifasciata,GCA_963675555.1,PRJEB69336,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Leptusa sp. GC000079,GCA_030264655.1,PRJNA764224,to_verify,LOW,Standard NCBI submission - verify publication,,,
Lesteva pubescens,GCA_965644545.1,PRJEB94213,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Lesteva punctata,GCA_975739945.1,PRJEB97788,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Lethrus apterus,GCA_051989325.1,PRJNA1285827,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Lethrus scoparius,GCA_052696345.1,PRJNA1091353,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Librodor japonicus,GCA_046866795.1,PRJNA1202356,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Limonius californicus,GCA_014611495.1,PRJNA595620,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Limonius poneli,GCA_965119595.1,PRJEB85520,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Liometoxenus newtonarum,GCA_030264535.1,PRJNA764224,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Liophloeus tessulatus,GCA_978021545.1,PRJEB106583,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Liopterus haemorrhoidalis,GCA_963971575.1,PRJEB73544,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Lissagria laeviuscula,GCA_030264695.1,PRJNA764224,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Listronotus bonariensis,GCA_014170235.1,PRJNA640511,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Listronotus oregonensis,GCA_019359885.1,PRJNA726155,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Lochmaea capreae,GCA_949126875.1,PRJEB59460,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Lochmaea crataegi,GCA_947563755.1,PRJEB58179,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Longitarsus dorsalis,GCA_965178105.1,PRJEB86221,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Longitarsus flavicornis,GCA_964258785.1,PRJEB79478,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Lordithon lunulatus,GCA_963942505.1,PRJEB72465,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Lucanus miwai,GCA_050437245.1,PRJNA1196107,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Luciola italica,GCA_054859625.1,PRJNA1090789,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Lycocerus yunnanus,GCA_036346125.1,PRJNA884806,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Lydus trimaculatus,GCA_037414755.1,PRJNA1067880,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Magdalis barbicornis,GCA_965663545.1,PRJEB94978,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Magdalis cerasi,GCA_965642045.1,PRJEB92160,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Malachius bipustulatus,GCA_910589415.1,PRJEB45315,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Malthinus flaveolus,GCA_950108345.1,PRJEB61706,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Malthinus seriepunctatus,GCA_963924605.1,PRJEB72083,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Malthodes marginatus,GCA_965119235.1,PRJEB85282,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Malthodes minimus,GCA_964263285.1,PRJEB79898,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Marronus borbonicus,GCA_902655005.2,PRJEB34604,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Megalocaria dilatata,GCA_034642435.1,PRJNA1029341,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Megatoma undata,GCA_965643495.1,PRJEB93942,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Megistoleon ritsemae,GCA_055703805.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Megistopus flavicornis,GCA_055697125.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Melanotus villosus,GCA_963082815.1,PRJEB64848,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Melinopterus prodromus,GCA_964023965.1,PRJEB74734,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Meloe dianella,GCA_028455855.1,PRJNA867391,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Melolontha melolontha,GCA_935421215.2,PRJEB51927,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Metoecus paradoxus,GCA_965282865.1,PRJEB89532,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Mexoleon papago,GCA_055699175.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Micraspis discolor,GCA_030674115.1,PRJNA626074,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Micromus angulatus,GCA_047833675.1,PRJNA1101095,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Microrhagus pygmaeus,GCA_965643785.1,PRJEB94007,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Mimaenictus wilsoni,GCA_027575185.1,PRJNA397438,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Molorchus minor,GCA_029963825.1,PRJNA609440,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Mongoleon kaszabi,GCA_055699045.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Mongoloraphidia duomilia,GCA_039654895.1,PRJNA1104565,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Monochamus alternatus,GCA_037114965.1,PRJNA1084890,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Monochamus saltuarius,GCA_025584915.1,PRJNA814433,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Monochamus scutellatus,GCA_052862855.1,PRJNA1289024,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Monochamus sutor,GCA_052757275.1,PRJNA1290528,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Monolepta hieroglyphica,GCA_045514875.1,PRJNA1171132,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Mononychus punctumalbum,GCA_977066395.1,PRJEB103978,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Monotoma picipes,GCA_977065965.1,PRJEB103784,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Morimus asper,GCA_977013095.1,PRJEB94603,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Morimus orientalis,GCA_976714775.1,PRJEB96521,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Mycetophagus atomarius,GCA_977112535.1,PRJEB104609,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Mycetophagus piceus,GCA_965642255.1,PRJEB93769,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Mylabris phalerata,GCA_020740385.1,PRJNA773621,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Mylabris quadripunctata,GCA_977015545.1,PRJEB94612,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Mylabris sibirica,GCA_039776855.1,PRJNA1100439,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Mylabris variabilis,GCA_037464815.1,PRJNA1067880,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Myllaena sp. GC000078,GCA_030264135.1,PRJNA764224,to_verify,LOW,Standard NCBI submission - verify publication,,,
Myrmecaelurus zigan,GCA_055699105.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Myrmeleon acer,GCA_055703785.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Myrmeleon alcestris,GCA_055701275.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Myrmeleon almohadarum,GCA_055723545.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Myrmeleon alternans,GCA_055725675.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Myrmeleon alticolus,GCA_055701055.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Myrmeleon argentinus,GCA_055703925.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Myrmeleon basutus,GCA_055760095.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Myrmeleon brasiliensis,GCA_055703905.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Myrmeleon circumcinctus,GCA_055701375.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Myrmeleon croceicolli,GCA_055703685.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Myrmeleon dolosus,GCA_055725145.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Myrmeleon doralice,GCA_055723525.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Myrmeleon exitialis,GCA_055726885.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Myrmeleon fasciatus,GCA_055728325.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Myrmeleon ferrugineipennis,GCA_055701215.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Myrmeleon formicarius,GCA_055723605.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Myrmeleon frontalis,GCA_055728825.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Myrmeleon fuscus,GCA_055699915.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Myrmeleon gerlindae,GCA_055723585.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Myrmeleon heppneri,GCA_055723685.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Myrmeleon hyalinus,GCA_055704025.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Myrmeleon immaculatus,GCA_055723945.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Myrmeleon immanis,GCA_055724145.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
